year;inflation_growth;salary_depend;salary_avg;inflation;Fun
2007;0;0;50910;10.8468362075558;100
2008;17,13989978;15,10312316;58599;17,13989978;117,1398998
2009;25,7099469;29,56982911;65964;7,316078583;125,7099469
2010;35,01306572;41,91907287;72251;7,400463567;135,0130657
2011;46,38776478;71,81300334;87470;8,424887619;146,3877648
2012;53,85048837;97,57218621;100584;5,09791485;153,8504884
2013;62,84521744;113,7811825;108836;5,846409173;162,8452174
2014;73,76655944;129,3616185;116768;6,706578291;173,7665594
2015;85,34944926;133,0347672;118638;6,665776115;185,3494493
2016;112,3104242;160,791593;132769;14,54602379;212,3104242
2017;128,1063291;175,5156158;140265;7,440004373;228,1063291
2018;141,8363478;199,4342958;152442;6,019130966;241,8363478
2019;154,5218173;230,9546258;168489;5,245476796;254,5218173
2020;171,7568788;293,5022589;200332;6,771545828;271,7568788
2021;193,6124383;353,4060106;230829;8,042320628;293,6124383
2022;237,5368591;460,6619525;285433;14,96;337,5368591
2023;287,5935753;569,0944805;340636;14,83;387,5935753
2024;296,9199099;580,8420847;346616,7053;2,406214978;396,9199099
2025;329,1324272;656,6388318;385204,8293;8,115621436;429,1324272
2026;363,1311221;737,4483239;426344,9417;7,922658055;463,1311221
2027;398,9159944;823,2705608;470037,0425;7,726725894;498,9159944
2028;436,4870442;914,1055427;516281,1318;7,530536257;536,4870442
2029;475,8442716;1009,95327;565077,2095;7,336100245;575,8442716
2030;516,9876765;1110,813741;616425,2757;7,14488394;616,9876765
2031;559,9172589;1216,686958;670325,3303;6,957931906;659,9172589
2032;604,6330188;1327,57292;726777,3734;6,77596461;704,6330188
2033;651,1349562;1443,471626;785781,4049;6,599454779;751,1349562
2034;699,4230712;1564,383078;847337,4249;6,428686956;799,4230712
2035;749,4973637;1690,307274;911445,4333;6,26380377;849,4973637
2036;801,3578337;1821,244215;978105,4301;6,104841781;901,3578337
2037;855,0044812;1957,193902;1047317,415;5,951759169;955,0044812
2038;910,4373062;2098,156333;1119081,389;5,804457059;1010,437306
2039;967,6563087;2244,131509;1193397,351;5,662795919;1067,656309
2040;1026,661489;2395,11943;1270265,302;5,526608102;1126,661489
2041;1087,452846;2551,120096;1349685,241;5,395707423;1187,452846
2042;1150,030381;2712,133507;1431657,169;5,269896425;1250,030381
2043;1214,394094;2878,159663;1516181,085;5,148971862;1314,394094
2044;1280,543984;3049,198564;1603256,989;5,032728801;1380,543984
2045;1348,480052;3225,25021;1692884,882;4,920963651;1448,480052
2046;1418,202297;3406,3146;1785064,763;4,81347638;1518,202297
2047;1489,71072;3592,391736;1879796,633;4,710072092;1589,71072
2048;1563,00532;3783,481617;1977080,491;4,610562116;1663,00532
2049;1638,086098;3979,584242;2076916,338;4,514764735;1738,086098
2050;1714,953053;4180,699613;2179304,173;4,422505614;1814,953053
