,year,inflation,salary_increase,salary_avg
0,2007,10.8468362075558,130.6,50910
1,2008,17.139899777207,114.1,58599
2,2009,7.31607858288587,111.4,65964
3,2010,7.40046356742114,114.6,72251
4,2011,8.42488761919795,116.1,87470
5,2012,5.09791484975818,112.4,100584
6,2013,5.84640917320459,107.5,108836
7,2014,6.70657829092726,110.9,116768
8,2015,6.66577611541544,104.1,118638
9,2016,14.5460237946149,113.6,132769
10,2017,7.44000437325754,105.1,140265
11,2018,6.01913096570671,108.4,152442
12,2019,5.2454767960839,114.3,168489
13,2020,6.7715458276334,114.6,200332
14,2021,8.04232062780269,117.0,230829
15,2022,14.96,123.8,285433
16,2023,14.83,119.3,340636
