,year,inflation_growth,salary_depend
0,2008,17.139899777207003,15.10312315851503
1,2009,25.7099468968212,29.56982911019445
2,2010,35.01306571754492,41.919072873698696
3,2011,46.38776477548194,71.81300333922609
4,2012,53.85048837420032,97.57218621096052
5,2013,62.84521743952962,113.78118247888432
6,2014,73.76655944014236,129.361618542526
7,2015,85.34944925588255,133.03476723629933
8,2016,112.31042424783088,160.79159300726772
9,2017,128.1063290967511,175.51561579257515
10,2018,141.8363477861505,199.43429581614612
11,2019,154.5218172937698,230.95462581025336
12,2020,171.75687879314282,293.50225888823417
13,2021,193.61243831379647,353.4060106069535
14,2022,237.53685908554044,460.66195246513456
15,2023,287.59357528792606,569.0944804557062
16,2024,296.91990994894877,580.8420847281814
17,2025,329.13242724351585,656.6388318259269
18,2026,363.13112205592915,737.4483238570392
19,2027,398.9159943861887,823.270560817793
20,2028,436.4870442338288,914.1055427156389
21,2029,475.8442715993151,1009.9532695468515
22,2030,516.9876764817163,1110.813741311431
23,2031,559.9172588824295,1216.6869580075145
24,2032,604.6330188009888,1327.5729196332395
25,2033,651.1349562373944,1443.4716261960566
26,2034,699.4230711911805,1564.3830776922405
27,2035,749.4973636628129,1690.3072741217911
28,2036,801.3578336522914,1821.2442154847085
29,2037,855.0044811586849,1957.1939017772675
30,2038,910.4373061833903,2098.156333005056
31,2039,967.6563087259419,2244.131509166211
32,2040,1026.661488785874,2395.1194302625954
33,2041,1087.4528463641182,2551.120096286759
34,2042,1150.0303814597428,2712.133507248014
35,2043,1214.394094072748,2878.159663140774
36,2044,1280.543984204065,3049.1985639687628
37,2045,1348.4800518518314,3225.250209728256
38,2046,1418.2022970179096,3406.314600419253
39,2047,1489.7107197022997,3592.39173604548
40,2048,1563.0053199040703,3783.481616605073
41,2049,1638.0860976236872,3979.5842420980334
42,2050,1714.9530528606847,4180.69961252436
